year	totalbirths	nmbirths	mbirthrate	nmbirthrate	nmfr
1960					5.3
1961					5.6
1962					5.9
1963					6.3
1964					6.9
1965					7.7
1966					8.4
1967					9
1968					9.7
1969					10
1970					10.7
1971					11.3
1972					12.4
1973					13
1974					13.2
1975					14.3
1976					14.8
1977					15.5
1978					16.3
1979					17.1
1980					18.4
1981					18.9
1982					19.4
1983					20.3
1984					21
1985					22
1986					23.4
1987					24.5
1988					25.7
1989					27.1
1990					28
1991					29.5
1992					30.1
1993					31
1994	3,952,767	1,289,592			32.6
1995	3,899,589	1,253,976			32.2
1996	3,891,494	1,260,306			32.4
1997	3,880,894	1,257,444			32.4
1998	3,941,553	1,293,567			32.8
1999	3,959,417	1,308,560			33.0
2000	4058814	1347043	87.4	44	33.2
2001	4025933	1349249	86.6	43.7	33.5
2002	4021726	1365966	86.9	43.6	34
2003	4089950	1415995	88.4	44.7	34.6
2004	4112052	1470189	88.1	46	35.8
2005	4138349	1527034	87.9	47.2	36.9
2006	4265555	1641946	88.7	50.3	38.5
2007	4316233	1715047	89.1	51.8	39.7
2008	4247694	1726566	86.9	51.8	40.6
2009	4130665	1693658	85.6	49.9	41
2010	3999386	1633471	84.3	47.5	40.8
2011	3953590	1607773	85.1	46	40.7
2012	3952841	1609619	86	45.3	40.7
2013	3932181	1595873	86.9	44.3	40.6
2014	3988076	1604870	88.9	43.9	40.2
2015	3978497	1601527	89	43.4	40.3
2016	3945875	1596796	89.6	42.4	39.8
2017	3855500	1533901	87.4	41	39.8
2018	3791712	1503361	85.6	40.1	39.6
2019	3747540	1498113	84	39.9	40
2020	3613647	1464121	80.8	38.6	40.5
2021	3664292	1464455	83.6	37.8	40
2022	3667758	1461305	84.2	37.2	39.8
2023	3596017	1440031	81.6	36.4	40
